n,#Prueba,Purview,Mecanismo,modo,k,perdida,tiempo_ms
10,17,BCDEFGHIJ,BCDEFGHIJ,Rapido_MCTS,5,2.07,1681.596800000079
10,17,BCDEFGHIJ,BCDEFGHIJ,Aprox_KLmc,3,0.00390625,901.2056000065058
10,17,BCDEFGHIJ,BCDEFGHIJ,Aprox_KLmc,4,0.0,2011.058200005209
10,17,BCDEFGHIJ,BCDEFGHIJ,Aprox_KLmc,5,0.00390625,2809.090599999763
10,18,BCDEFGHIJ,BCDEFGHI,Exacto,2,0.01171875,691.5491999970982
10,18,BCDEFGHIJ,BCDEFGHI,Exacto,3,0.0234375,721.514599994407
10,18,BCDEFGHIJ,BCDEFGHI,Exacto,4,0.05078125,796.8276000028709
10,18,BCDEFGHIJ,BCDEFGHI,Exacto,5,0.28125,1007.326000006287
10,18,BCDEFGHIJ,BCDEFGHI,Exacto_KL,3,0.00390625,1315.654099998937
10,18,BCDEFGHIJ,BCDEFGHI,Exacto_KL,4,0.0,2517.670499997621
10,18,BCDEFGHIJ,BCDEFGHI,Exacto_KL,5,0.0625,4744.218400002865
10,18,BCDEFGHIJ,BCDEFGHI,Rapido_MCTS,2,0.0,994.0662870003507
10,18,BCDEFGHIJ,BCDEFGHI,Rapido_MCTS,3,0.3078571428571428,1391.813189000004
10,18,BCDEFGHIJ,BCDEFGHI,Rapido_MCTS,4,1.220714285714286,1551.792231999571
10,18,BCDEFGHIJ,BCDEFGHI,Rapido_MCTS,5,1.333571428571428,1633.74658299972
10,18,BCDEFGHIJ,BCDEFGHI,Aprox_KLmc,3,0.00390625,806.8581999978051
10,18,BCDEFGHIJ,BCDEFGHI,Aprox_KLmc,4,0.0,1770.439999992959
10,18,BCDEFGHIJ,BCDEFGHI,Aprox_KLmc,5,0.0625,3847.628599993186
10,19,BCDEFGHIJ,ABDEGHJ,Exacto,2,0.005859375,649.0564999985509
10,19,BCDEFGHIJ,ABDEGHJ,Exacto,3,0.025390625,907.7386999997543
10,19,BCDEFGHIJ,ABDEGHJ,Exacto,4,0.052734375,777.6386999976239
10,19,BCDEFGHIJ,ABDEGHJ,Exacto,5,0.162109375,844.8788000023342
10,19,BCDEFGHIJ,ABDEGHJ,Exacto_KL,3,0.0,1428.532099998847
10,19,BCDEFGHIJ,ABDEGHJ,Exacto_KL,4,0.005859375,1768.135700003768
10,19,BCDEFGHIJ,ABDEGHJ,Exacto_KL,5,0.0078125,4681.974299994181
10,19,BCDEFGHIJ,ABDEGHJ,Rapido_MCTS,2,0.7296428571428571,1009.781459999886
10,19,BCDEFGHIJ,ABDEGHJ,Rapido_MCTS,3,0.7864285714285714,1607.179451999855
10,19,BCDEFGHIJ,ABDEGHJ,Rapido_MCTS,4,0.7557142857142859,1435.809095000423
10,19,BCDEFGHIJ,ABDEGHJ,Rapido_MCTS,5,0.7332142857142857,1324.052821999885
10,19,BCDEFGHIJ,ABDEGHJ,Aprox_KLmc,3,0.0,729.768499993952
10,19,BCDEFGHIJ,ABDEGHJ,Aprox_KLmc,4,0.005859375,1177.633099985542
10,19,BCDEFGHIJ,ABDEGHJ,Aprox_KLmc,5,0.0078125,4440.949599986197
10,20,BCDEFGHIJ,ACEGI,Exacto,2,0.015625,692.6122000004398
10,20,BCDEFGHIJ,ACEGI,Exacto,3,0.0400390625,781.2773000041489
10,20,BCDEFGHIJ,ACEGI,Exacto,4,0.0771484375,903.2673999972758
10,20,BCDEFGHIJ,ACEGI,Exacto,5,0.1513671875,867.1006000004127
10,20,BCDEFGHIJ,ACEGI,Exacto_KL,3,0.0,1483.231400001387
10,20,BCDEFGHIJ,ACEGI,Exacto_KL,4,0.037109375,2266.439700004412
10,20,BCDEFGHIJ,ACEGI,Exacto_KL,5,0.109375,2226.673000004666
10,20,BCDEFGHIJ,ACEGI,Rapido_MCTS,2,0.4736607142857143,1130.323258999852
10,20,BCDEFGHIJ,ACEGI,Rapido_MCTS,3,0.6945535714285714,1149.071315999663
10,20,BCDEFGHIJ,ACEGI,Rapido_MCTS,4,0.5006249999999999,1130.160741000054
10,20,BCDEFGHIJ,ACEGI,Rapido_MCTS,5,0.5533035714285715,1117.032015999939
10,20,BCDEFGHIJ,ACEGI,Aprox_KLmc,3,0.0,724.1477000061423
10,20,BCDEFGHIJ,ACEGI,Aprox_KLmc,4,0.037109375,953.5703999863472
10,20,BCDEFGHIJ,ACEGI,Aprox_KLmc,5,0.109375,1330.775800015545
10,21,BCDEFGHIJ,BDFHJ,Exacto,2,0.00390625,890.3997000015806
10,21,BCDEFGHIJ,BDFHJ,Exacto,3,0.015625,869.0535999994609
10,21,BCDEFGHIJ,BDFHJ,Exacto,4,0.0400390625,888.3379000035347
10,21,BCDEFGHIJ,BDFHJ,Exacto,5,0.0654296875,942.60299999587
